,HTML,TAG,TC,LTC,TG,P,CTTD,CTTDs
165,"<ul class=""list-double""><li><a href=""http://grafis.tempo.co/read/flashgrafis/2016/08/24/780/ketika-angka-berbicara-candu-rokok-dan-pajak-dosa"" title=""Ketika Angka Berbicara Candu Rokok dan Pajak Dosa""><img alt=""Ketika Angka Berbicara Candu Rokok dan Pajak Dosa"" src=""https://cdn.tmpo.co/data/2015/08/28/id_431839/431839_300.jpg""/></a><h4><a href=""http://grafis.tempo.co/read/flashgrafis/2016/08/24/780/ketika-angka-berbicara-candu-rokok-dan-pajak-dosa"" title=""Ketika Angka Berbicara Candu Rokok dan Pajak Dosa"">Ketika Angka Berbicara Candu Rokok dan Pajak Dosa</a></h4></li><li><a href=""http://grafis.tempo.co/read/flashgrafis/2016/08/19/779/fakta-fakta-di-balik-medali-emas-tontowi-liliyana"" title=""Fakta-fakta di Balik Medali Emas Tontowi/Liliyana""><img alt=""Fakta-fakta di Balik Medali Emas Tontowi/Liliyana"" src=""https://cdn.tmpo.co/data/2016/08/18/id_531569/531569_300.jpg""/></a><h4><a href=""http://grafis.tempo.co/read/flashgrafis/2016/08/19/779/fakta-fakta-di-balik-medali-emas-tontowi-liliyana"" title=""Fakta-fakta di Balik Medali Emas Tontowi/Liliyana"">Fakta-fakta di Balik Medali Emas Tontowi/Liliyana</a></h4></li></ul>","['ul', 'li', 'a', 'img', 'h4', 'a', 'li', 'a', 'img', 'h4', 'a']",-1,14,22,0,28.0,12.5
166," <div class=""right-fixed""></div>",['div'],0,0,2,0,0.0,6.25
167,"<div id=""widget_video"" kanal=""tekno""></div>",['div'],0,0,2,0,0.0,2.8
168,"<div class=""banner300x250 top""></div>",['div'],0,0,1,0,0.0,0.0
169,"<div id=""div-gpt-ad-1422512954465-4"" style=""width:300px; height:auto;""></div>",['div'],0,0,1,0,0.0,0.0
170,,[],0,0,0,0,0.0,0.0
171,,[],0,0,2,0,0.0,0.0
172,,[],0,0,1,0,0.0,0.0
173,,[],0,0,1,0,0.0,0.0
174,,[],0,0,1,0,0.0,0.0
175,,[],0,0,0,0,0.0,0.0
176,"<div class=""left-col""></div>",['div'],0,0,1,0,0.0,0.0
177,"<div class=""w160 m10-b""></div>",['div'],0,0,1,0,0.0,0.0
178,,[],0,0,0,0,0.0,0.0
179,"<div id=""div-gpt-ad-1432034735081-0"" style=""height:600px; width:160px;""></div>",['div'],0,0,1,0,0.0,0.0
180,,[],0,0,0,0,0.0,0.0
181," <div class=""blocking m15-b""></div>",['div'],0,0,2,0,0.0,0.3
182,"<div id=""tops""></div>",['div'],0,0,1,0,0.0,0.6
183,"<h2 class=""title"">Terpopuler</h2>",['h2'],1,0,2,0,3.0,1.5
184,"<div id=""tops-1""></div>",['div'],0,0,1,0,0.0,2.25
185,"<span class=""number small"">1</span>",['span'],1,0,2,0,3.0,4.7
186,"<h3 class=""small""><a href=""https://nasional.tempo.co/read/news/2016/10/03/063809248/pengakuan-istri-kedua-sanusi-soal-rumah-rp-16-5-miliar"" title=""Pengakuan Istri Kedua Sanusi Soal Rumah Rp 16,5 Miliar"">Pengakuan Istri Kedua Sanusi Soal Rumah Rp 16,5 Miliar</a></h3><span class=""number small"">2</span>","['h3', 'a', 'span']",0,9,6,0,10.5,7.9
187,"<h3 class=""small""><a href=""https://metro.tempo.co/read/news/2016/10/03/083809283/ratna-sarumpaet-kalau-saya-presiden-luhut-saya-bui"" title=""Ratna Sarumpaet: Kalau Saya Presiden, Luhut Saya Bui!  "">Ratna Sarumpaet: Kalau Saya Presiden, Luhut Saya Bui!  </a></h3><span class=""number small"">3</span>","['h3', 'a', 'span']",1,8,6,0,11.0,9.7
188,"<h3 class=""small""><a href=""https://seleb.tempo.co/read/news/2016/10/03/219809282/raffi-ahmad-selingkuh-nagita-slavina-menjawab"" title=""Raffi Ahmad Selingkuh, Nagita Slavina Menjawab"">Raffi Ahmad Selingkuh, Nagita Slavina Menjawab</a></h3><span class=""number small"">4</span>","['h3', 'a', 'span']",0,6,6,0,9.0,10.25
189,"<h3 class=""small""><a href=""https://metro.tempo.co/read/news/2016/10/03/064809182/ibu-yang-mutilasi-anak-ternyata-istri-anggota-provos-polda-metro"" title=""Ibu yang Mutilasi Anak Ternyata Istri Anggota Provos Polda Metro"">Ibu yang Mutilasi Anak Ternyata Istri Anggota Provos Polda Metro</a></h3><span class=""number small"">5</span>","['h3', 'a', 'span']",0,10,6,0,11.0,10.75
190,"<h3 class=""small""><a href=""https://nasional.tempo.co/read/news/2016/10/03/063809270/kisah-sanusi-istri-kedua-cinta-bermula-di-thamrin-city"" title=""Kisah Sanusi &amp; Istri Kedua, Cinta Bermula di Thamrin City  "">Kisah Sanusi &amp; Istri Kedua, Cinta Bermula di Thamrin City  </a></h3><span class=""number small"">6</span>","['h3', 'a', 'span']",1,10,6,0,12.0,11.1
191,"<h3 class=""small""><a href=""https://nasional.tempo.co/read/news/2016/10/03/063809219/anya-geraldine-blakblakan-alasan-mengunggah-video-mesra"" title=""Anya Geraldine Blakblakan Alasan Mengunggah Video Mesra  "">Anya Geraldine Blakblakan Alasan Mengunggah Video Mesra  </a></h3><span class=""number small"">7</span>","['h3', 'a', 'span']",1,7,6,0,10.5,11.0
192,"<h3 class=""small""><a href=""https://metro.tempo.co/read/news/2016/10/03/083809199/ratna-sarumpaet-ajak-penantang-ahok-kumpulkan-korban-gusuran"" title=""Ratna Sarumpaet Ajak Penantang Ahok Kumpulkan Korban Gusuran  "">Ratna Sarumpaet Ajak Penantang Ahok Kumpulkan Korban Gusuran  </a></h3><span class=""number small"">8</span>","['h3', 'a', 'span']",1,8,6,0,11.0,10.95
193,"<h3 class=""small""><a href=""https://nasional.tempo.co/read/news/2016/10/03/063809276/adegan-kematian-korban-dimas-kanjeng-dijerat-dibekap-dan"" title=""Adegan Kematian Korban Dimas Kanjeng: Dijerat, Dibekap, dan...  "">Adegan Kematian Korban Dimas Kanjeng: Dijerat, Dibekap, dan...  </a></h3><span class=""number small"">9</span>","['h3', 'a', 'span']",1,8,6,0,11.0,10.65
194,"<h3 class=""small""><a href=""https://seleb.tempo.co/read/news/2016/10/03/219809206/momen-mesra-anya-geraldine-yang-bakal-dihapus-dari-youtube"" title=""Momen Mesra Anya Geraldine yang Bakal Dihapus dari YouTube"">Momen Mesra Anya Geraldine yang Bakal Dihapus dari YouTube</a></h3><span class=""number small"">10</span>","['h3', 'a', 'span']",0,9,6,0,10.5,9.3
195,"<h3 class=""small""><a href=""https://pilkada.tempo.co/read/news/2016/10/03/304809228/dilema-ahok-antara-sombong-dan-curi-start-kampanye"" title=""Dilema Ahok: Antara Sombong dan Curi Start Kampanye  "">Dilema Ahok: Antara Sombong dan Curi Start Kampanye  </a></h3> ","['h3', 'a']",0,8,5,0,9.0,6.8
196,,[],0,0,1,0,0.0,2.85
197," <div id=""widget_tempochanel_160""></div>",['div'],0,0,3,0,0.0,0.9
198,"<div id=""widget_majalah_kanan""></div>",['div'],0,0,2,0,0.0,0.0
199,"<div class=""left-fixed""></div>",['div'],0,0,1,0,0.0,0.4
200,"<div class=""blocking m20-b bgw""></div>",['div'],0,0,1,0,0.0,5.6
201,"<h2 class=""title"">Berita Pilihan</h2>",['h2'],2,0,2,0,4.0,11.2
